Day,Date,Phase,Cumulative_Cases,Daily_Cases,Active_Cases,Deaths_Today,Cumulative_Deaths,Effective_R
0,2030-01-15 + 0 days,Stealth Spread,1,1,1,0,0,3.2
1,2030-01-15 + 1 days,Stealth Spread,1,0,1,0,0,3.2
2,2030-01-15 + 2 days,Stealth Spread,1,0,1,0,0,3.2
3,2030-01-15 + 3 days,Stealth Spread,1,0,1,0,0,3.2
4,2030-01-15 + 4 days,Stealth Spread,1,0,1,0,0,3.2
5,2030-01-15 + 5 days,Stealth Spread,2,1,1,0,0,3.2
6,2030-01-15 + 6 days,Stealth Spread,2,0,2,0,0,3.2
7,2030-01-15 + 7 days,Stealth Spread,3,1,2,0,0,3.2
8,2030-01-15 + 8 days,Stealth Spread,3,0,3,0,0,3.2
9,2030-01-15 + 9 days,Stealth Spread,4,1,2,0,0,3.2
10,2030-01-15 + 10 days,Stealth Spread,5,1,3,0,0,3.2
11,2030-01-15 + 11 days,Stealth Spread,6,1,4,0,0,3.2
12,2030-01-15 + 12 days,Stealth Spread,7,1,5,0,0,3.2
13,2030-01-15 + 13 days,Stealth Spread,8,1,6,0,0,3.2
14,2030-01-15 + 14 days,Stealth Spread,10,2,6,0,0,3.2
15,2030-01-15 + 15 days,Stealth Spread,12,2,8,0,0,3.2
16,2030-01-15 + 16 days,Stealth Spread,14,2,9,0,0,3.2
17,2030-01-15 + 17 days,Stealth Spread,16,2,11,0,0,3.2
18,2030-01-15 + 18 days,Stealth Spread,19,3,12,0,0,3.2
19,2030-01-15 + 19 days,Stealth Spread,23,4,14,0,0,3.2
20,2030-01-15 + 20 days,Stealth Spread,27,4,17,0,0,3.2
21,2030-01-15 + 21 days,Stealth Spread,32,5,20,0,0,3.2
22,2030-01-15 + 22 days,Stealth Spread,38,6,24,0,0,3.2
23,2030-01-15 + 23 days,Stealth Spread,45,7,28,0,0,3.2
24,2030-01-15 + 24 days,Stealth Spread,53,8,33,0,0,3.2
25,2030-01-15 + 25 days,Stealth Spread,63,10,39,0,0,3.2
26,2030-01-15 + 26 days,Stealth Spread,75,12,47,0,0,3.2
27,2030-01-15 + 27 days,Stealth Spread,88,13,56,0,0,3.2
28,2030-01-15 + 28 days,Stealth Spread,104,16,65,1,1,3.2
29,2030-01-15 + 29 days,Stealth Spread,123,19,77,1,2,3.2
30,2030-01-15 + 30 days,Stealth Spread,146,23,91,1,3,3.2
31,2030-01-15 + 31 days,Stealth Spread,172,26,108,1,4,3.2
32,2030-01-15 + 32 days,Stealth Spread,203,31,127,2,6,3.2
33,2030-01-15 + 33 days,Stealth Spread,240,37,150,3,9,3.2
34,2030-01-15 + 34 days,Stealth Spread,284,44,177,3,12,3.2
35,2030-01-15 + 35 days,Stealth Spread,335,51,209,4,16,3.2
36,2030-01-15 + 36 days,Stealth Spread,396,61,247,5,21,3.2
37,2030-01-15 + 37 days,Stealth Spread,467,71,292,6,27,3.2
38,2030-01-15 + 38 days,Stealth Spread,552,85,344,7,34,3.2
39,2030-01-15 + 39 days,Stealth Spread,652,100,406,9,43,3.2
40,2030-01-15 + 40 days,Stealth Spread,770,118,480,11,54,3.2
